PRODUCT: PEDESTAL,,,,,PRODUCT: STORAGE,,,
"Specifications:
Top & Sides : 18mm Thk pre laminated particle board
Back : 9mm Thk pre laminated particle board
Edge : All exposed area with 2mm thick PVC edge lipping
Handle : Finger groove handle
Lock : Regular lock",,,,,"Specifications:
Top & Sides : 18mm Thk pre laminated particle board Back : 9mm Thk pre laminated particle board Shutters : 18mm Thk pre laminated particle board
Edge : All exposed area with 2mm thick PVC edge lipping
Handle : Finger groove handle
Lock : Regular lock",,,
SL NO,configuration,line drawing,"size
L X D X H",,SL NO,configuration,line drawing,"size
L X D X H"
1,1 Drawer + 1 Filling,,400 X 450 X 600,,1,Low Height Storage with Openable Shutter,,750 X 450 X 750
,,,,,,,,900 X 450 X 750
2,2 Drawer + 1 Filling,,400 X 450 X 600,,,,,1050 X 450 X 750
,,,,,2,Medium Height Storage with Openable Shutter,,750 X 450 X 1200
3,2 Equal Drawer with single lock,,400 X 450 X 600,,,,,900 X 450 X 1200
,,,,,,,,1050 X 450 X 1200
4,2 Equal Drawer with individual lock,,400 X 450 X 600,,3,Full Height Storage with Openable Shutter,,750 X 450 X 1800
,,,,,,,,900 X 450 X 1800
5,3 Equal Drawer with single lock,,400 X 450 X 600,,,,,1050 X 450 X 1800
,,,,,4,Full Height Storage with Openable Shutter,,750 X 450 X 2100
6,3 Equal Drawer with individual lock,,400 X 450 X 600,,,,,900 X 450 X 2100
,,,,,,,,1050 X 450 X 2100
7,4 Equal Drawer with single lock,,400 X 450 X 600,,5,Composite storage,,900 X 450 X 750
,,,,,,,,1050 X 450 X 750
8,4 Equal Drawer with two lock,,400 X 450 X 600,,,,,1200 X 450 X 750
,,,,,6,Composite storage with Pneumatic Height adjustable top  with regular lock,,900 X 450 X 650
9,4 Equal Drawer with inidividual lock,,400 X 450 X 600,,,,,1050 X 450 X 650
,,,,,,,,
10,2 Drawer + 1 Filling  on castors with Pneumatic Height adjustable table with regular lock,,600 X 450 X 600,,,,,
,,,,,,,,
